No,year,month,day,hour,PM2.5,PM10,CO,TEMP,PRES,DEWP,WSPM,monthno
34825,2017,2,19,0,129,129,1000,2.7,1008.3,-8.1,2.3,2
34826,2017,2,19,1,134,138,2000,2.4,1007.2,-7,1.5,2
34827,2017,2,19,2,144,150,2000,1.3,1006.3,-6.8,1.4,2
34828,2017,2,19,3,161,161,2000,0.9,1004.9,-6,1.2,2
34829,2017,2,19,4,169,170,2000,0.1,1003.7,-5.9,0.6,2
34830,2017,2,19,5,170,170,2000,-1.2,1002.9,-6.6,0.3,2
34831,2017,2,19,6,167,167,2000,-1.6,1002.5,-6.5,0.3,2
34832,2017,2,19,7,168,168,2000,-1.9,1002.1,-6.6,0,2
34833,2017,2,19,8,169,176,2000,-1.2,1002.6,-6.4,0.1,2
34834,2017,2,19,9,162,169,2000,3.4,1003.2,-5.8,0.2,2
34835,2017,2,19,10,162,173,2000,5.1,1003.6,-7.4,1.2,2
34836,2017,2,19,11,169,187,2000,6.7,1003.1,-7,2.9,2
34837,2017,2,19,12,195,198,2400,8.6,1002.7,-6.8,2.3,2
34838,2017,2,19,13,189,189,2000,10.2,1002.1,-6.6,1.5,2
34839,2017,2,19,14,168,168,1000,12.7,1002.5,-8.5,2.1,2
34840,2017,2,19,15,91,91,800,12.5,1003.4,-17.2,4.4,2
34841,2017,2,19,16,17,145,300,10.3,1005.2,-21.3,6.1,2
34842,2017,2,19,17,13,103,200,10.4,1006.9,-20,4.4,2
34843,2017,2,19,18,7,56,200,9.2,1008.8,-20.9,6.1,2
34844,2017,2,19,19,7,76,300,7.2,1011.4,-21.4,5.2,2
34845,2017,2,19,20,12,106,200,6.1,1013.5,-20.3,4,2
34846,2017,2,19,21,6,129,200,3.6,1015.4,-20.7,4.8,2
34847,2017,2,19,22,8,93,100,2.8,1016.9,-20.6,4.6,2
34848,2017,2,19,23,5,72,200,2.2,1018.1,-20.4,4.8,2
